timestamp,F3_Q,F3_V,FC6_Q,FC6_V,P7_Q,P7_V,T8_Q,T8_V,F7_Q,F7_V,F8_Q,F8_V,T7_Q,T7_V,P8_Q,P8_V,AF4_Q,AF4_V,F4_Q,F4_V,AF3_Q,AF3_V,O2_Q,O2_V,O1_Q,O1_V,FC5_Q,FC5_V
20230511120649035,   0, 488,   0,8384,   0,13454,   0,10943,   0,1534,   0, 771,   0,9750,   0,11156,   0,15404,   0,1780,   0,2567,   0,9722,   0,16274,   0,12078
20230511120649043,   0,3594,   0,7131,   0,8316,   0,1047,   0,11060,   0,7345,   0,6304,   0,8129,   0,12185,   0,3440,   0,12328,   0,1355,   0,3156,   0,1784
20230511120649051,   0,11463,   0,7354,   0,5710,   0,15132,   0,14419,   0,10091,   0,8485,   0, 385,   0,5467,   0,10408,   0,16331,   0,11435,   0, 352,   0,4789
20230511120649059,   0,11473,   0, 262,   0,1497,   0,8713,   0,3216,   0,14404,   0, 723,   0,5856,   0,15522,   0,1075,   0,4818,   0,5552,   0,10080,   0, 992
20230511120649067,   0,9920,   0,8094,   0,6486,   0,12480,   0, 724,   0,12076,   0,8757,   0, 398,   0,9910,   0,9427,   0,5585,   0,10163,   0,5365,   0, 673
20230511120649075,   0,9212,   0,1378,   0,11954,   0,7869,   0,1611,   0,4901,   0,11549,   0,3492,   0,14288,   0,9577,   0,7770,   0,7564,   0,1486,   0,10695
20230511120649083,   0,14679,5150,2650,   0,13368,   0,1729,   0,5357,   0,4252,   0,16018,   0,1999,   0, 145,   0,15243,   0,10612,   0,5803,   0, 155,   0,  54
20230511120649091,   0,2366,5150,11127,   0,9226,   0,6552,   0,5946,   0,3819,   0,6029,   0,8437,   0,3465,   0,16374,   0,12976,   0,5462,   0,9669,   0,3505
20230511120649098,   0,8999,5150,3736,   0,13890,   0,10564,   0, 175,   0,12039,   0,9755,   0,5038,   0,12927,   0,3117,   0,11875,   0,13415,   0, 152,   0,15932
20230511120649106,   0,2111,5150,16324,   0, 505,   0,15294,   0,6862,   0,15530,   0,7134,   0,15443,   0,6130,   0,13892,   0,7946,   0,2668,   0,13571,   0,9439
20230511120649114,   0,13403,5150, 195,   0,3145,   0,3190,   0,1555,   0,11477,   0,15062,   0, 123,   0,5392,   0,4774,   0,12129,   0,1393,   0,1164,   0,10530
20230511120649122,   0,16284,5150,2494,   0,8808,   0,5787,   0,3107,   0,5483,   0,13341,   0,3932,   0,5821,   0,6432,   0,12187,   0,13559,   0,12011,   0,9781
20230511120649130,   0,14834,5150,6218,   0,6917,   0,5565,   0,11309,   0,6619,   0,13708,   0,4828,   0,12501,   0,11050,   0,15355,   0,12127,   0,5072,   0,12351
20230511120649138,   0,4235,5150,11306,   0,3606,   0,13046,   0,13921,   0,10750,   0,11230,   0,9723,   0, 217,   0,14526,   0,1979,   0,5328,   0,5044,   0,8700
20230511120649146,   0,10868,5150,4708,   0,10342,   0,8870,   0,15650,   0,5616,   0, 106,   0,7139,   0,1118,   0,3170,   0,8472,   0,2108,   0,5251,   0,10960
20230511120649154,   0,2255,5150, 770,   0,15413,   0,14830,   0,13195,   0,6967,   0,10275,   0, 376,   0,7916,   0,3854,   0, 543,   0,10748,   0,3947,   0,10809
20230511120649161,   0,4582,5150,6942,   0,2576,   0,1094,   0,7091,   0,14018,   0,3773,   0,7760,   0,15281,   0,6938,   0,10486,   0,3571,   0,5295,   0,1641
20230511120649169,   0,1181,5150,2545,   0, 511,   0,14214,   0,9753,   0, 132,   0, 457,   0,6622,   0,9560,   0,15475,   0,13614,   0,11078,   0, 128,   0,12517
20230511120649177,   0,12903,5150,9618,   0,6229,   0,9470,   0,5310,   0,15681,   0, 318,   0, 809,   0,14932,   0,10249,   0,8986,   0,11329,   0,5244,   0,7024
20230511120649185,   0,10485,5150,16157,   0,14325,   0,14675,   0,3377,   0,6672,   0,10146,   0,4897,   0,11910,   0,8755,   0,16231,   0, 878,   0,10083,   0,6488
20230511120649193,   0,11174,5150,14221,   0,15903,   0,  56,12170,11966,   0,1415,   0,14549,   0,15877,   0,4234,   0,9487,   0,13017,   0,5547,   0,4745,   0,3289
20230511120649201,   0,1516,5150,11695,   0,3947,6642,1702,12170,3296,   0,3351,   0,15841,   0,4834,   0, 895,   0,3485,   0,9268,   0,8548,   0, 374,   0, 300
20230511120649209,   0,5099,5150,8753,   0,4963,6642,10158,12170,2198,   0,10964,   0,15378,   0,2380,   0,8727,   0, 765,   0,12527,   0,1901,   0,6356,   0,13864
20230511120649217,   0,11081,5150,11447,   0,12855,6642,12281,12170,3898,   0,2472,   0,12760,   0,8249,   0,7584,   0,15279,   0,4067,   0,14178,   0,3730,   0,1290
20230511120649224,   0,7764,5150,6390,   0,10969,6642,10824,12170,8185,4856,8001,   0,14301,   0,4260,   0,12809,   0,2197,   0,8450,   0,7097,   0,14115,   0,11165
20230511120649232,   0,12307,5150,8467,   0,15574,6642,4833,12170, 271,4856,10870,   0,3739,   0,7312,   0,  32,   0,7370,   0,7768,   0,13270,   0,5077,   0,8582
20230511120649240,   0,10590,5150,11399,   0, 193,6642,2224,12170,3480,4856,16369,   0,3293,   0,8375,   0,13942,   0,4382,   0,4810,   0,6987,   0,13418,   0,14119
20230511120649252,   0,16355,5150,8577,   0,6559,6642,13783,12170,14438,4856,12507,   0,16123,   0,5792,   0,7682,   0,4147,   0,14705,   0,9705,   0, 125,   0,15650
20230511120649256,   0,12429,5150,3809,   0,10429,6642,2811,12170, 386,4856,8508,   0,9935,   0,9396,   0,2791,   0,9804,   0,  12,   0,2772,   0,15221,   0,9534
20230511120649264,   0,2463,5150,11043,   0,12088,6642,13805,12170,15533,4856,15978,   0,11376,   0,7474,   0, 734,   0,12663,   0,5041,   0,14319,   0,5230,   0,12468
20230511120649272,   0,3999,5150,11116,   0,14315,6642,11835,12170,9982,4856,9996,   0,6544,   0,4697,   0,5139,   0,10682,   0,10069,   0,7674,   0,14990,   0,6445
20230511120649280,   0,7432,5150,2501,   0,13854,6642,16178,12170,2813,4856,  65,   0,6444,   0,15039,   0,5642,   0,10950,   0,1262,   0, 637,   0,3122,   0,6176
20230511120649288,   0,5788,5150,1403,   0,4148,6642,6366,12170,11097,3820,15600,   0,10938,   0,1318,   0,3235,   0, 661,   0,1441,   0,7394,   0,12285,   0,2812
20230511120649295,   0,14767,5150,11830,   0,13437,6642,3167,12170,11594,3820,12714,   0,4131,   0,1827,   0, 639,   0,9439,   0,16123,   0,5401,   0,8858,   0,1936
20230511120649303,   0, 455,5150,2698,   0,12152,6642,6617,12170, 403,3820,5591,   0,5141,   0,3101,   0,6203,   0,14226,   0,10945,   0,8225,   0,15390,   0,5030
20230511120649311,   0,10143,5150,12595,   0, 494,6642,3759,12170,7439,3820,10331,   0,11525,   0,7352,   0,6926,   0,6093,   0,3102,   0,11136,   0,2208,   0,15382
20230511120649319,   0,5338,5150,11462,   0,15340,6642,7749,12170,2216,3820, 293,   0,1299,   0,8662,   0,3977,   0,6853,   0, 662,   0,9289,   0,1168,   0,12119
20230511120649327,   0,6756,5150,8472,   0,2578,6642,14548,12170,12352,3820,2480,   0,5248,   0,8998,   0,13666,   0,13620,   0,4465,   0,3481,   0,2304,   0,3613
